OrderID,Date,Service,Canal,MenuItemID,Quantite,PrixUnitaire,MontantLigne,CoutMatiereLigne
21,2025-07-01,Soir,Sur place,21,1,5.5,5.5,1.21
21,2025-07-01,Soir,Sur place,20,1,18.0,18.0,5.4
22,2025-07-01,Soir,Sur place,25,2,8.5,17.0,3.74
22,2025-07-01,Soir,Sur place,3,2,13.5,27.0,8.92
22,2025-07-01,Soir,Sur place,40,1,5.5,5.5,1.65
22,2025-07-01,Soir,Sur place,36,1,11.0,11.0,2.42
22,2025-07-01,Soir,Sur place,39,1,3.0,3.0,0.3
23,2025-07-01,Midi,Sur place,40,1,5.5,5.5,1.65
23,2025-07-01,Midi,Sur place,13,1,17.5,17.5,4.55
23,2025-07-01,Midi,Sur place,34,2,6.5,13.0,2.6
24,2025-07-01,Soir,Sur place,9,1,18.5,18.5,6.29
24,2025-07-01,Soir,Sur place,15,1,19.5,19.5,6.24
24,2025-07-01,Soir,Sur place,39,1,3.0,3.0,0.3
24,2025-07-01,Soir,Sur place,26,1,9.0,9.0,2.34
25,2025-07-01,Soir,Livraison,39,1,3.0,3.0,0.3
25,2025-07-01,Soir,Livraison,5,1,15.0,15.0,5.7
26,2025-07-01,Soir,Sur place,37,1,4.0,4.0,0.48
26,2025-07-01,Soir,Sur place,13,1,17.5,17.5,4.55
27,2025-07-01,Midi,Sur place,39,1,3.0,3.0,0.3
27,2025-07-01,Midi,Sur place,11,1,26.0,26.0,10.4
27,2025-07-01,Midi,Sur place,33,1,6.5,6.5,1.3
28,2025-07-01,Midi,Sur place,5,1,15.0,15.0,5.7
28,2025-07-01,Midi,Sur place,21,1,5.5,5.5,1.21
28,2025-07-01,Midi,Sur place,40,1,5.5,5.5,1.65
28,2025-07-01,Midi,Sur place,40,2,5.5,11.0,3.3
29,2025-07-01,Soir,Livraison,9,1,18.5,18.5,6.29
29,2025-07-01,Soir,Livraison,36,3,11.0,33.0,7.26
29,2025-07-01,Soir,Livraison,32,1,6.0,6.0,1.68
30,2025-07-01,Midi,A emporter,30,1,11.0,11.0,4.4
30,2025-07-01,Midi,A emporter,39,1,3.0,3.0,0.3
31,2025-07-01,Midi,Sur place,27,1,8.5,8.5,2.12
31,2025-07-01,Midi,Sur place,33,1,6.5,6.5,1.3
32,2025-07-01,Midi,Sur place,36,1,11.0,11.0,2.42
32,2025-07-01,Midi,Sur place,6,1,10.5,10.5,3.25
32,2025-07-01,Midi,Sur place,21,1,5.5,5.5,1.21
32,2025-07-01,Midi,Sur place,14,1,27.5,27.5,11.27
32,2025-07-01,Midi,Sur place,1,1,7.5,7.5,1.8
33,2025-07-01,Soir,Sur place,37,2,4.0,8.0,0.96
34,2025-07-01,Soir,A emporter,9,2,18.5,37.0,12.58
34,2025-07-01,Soir,A emporter,9,1,18.5,18.5,6.29
34,2025-07-01,Soir,A emporter,15,2,19.5,39.0,12.48
35,2025-07-01,Soir,Sur place,6,2,10.5,21.0,6.5
35,2025-07-01,Soir,Sur place,34,1,6.5,6.5,1.3
36,2025-07-01,Soir,Sur place,37,1,4.0,4.0,0.48
36,2025-07-01,Soir,Sur place,39,1,3.0,3.0,0.3
36,2025-07-01,Soir,Sur place,35,2,6.0,12.0,2.16
36,2025-07-01,Soir,Sur place,37,2,4.0,8.0,0.96
36,2025-07-01,Soir,Sur place,2,2,11.0,22.0,6.6
37,2025-07-01,Soir,Sur place,7,2,16.5,33.0,13.2
37,2025-07-01,Soir,Sur place,37,1,4.0,4.0,0.48
37,2025-07-01,Soir,Sur place,37,1,4.0,4.0,0.48
37,2025-07-01,Soir,Sur place,12,1,21.0,21.0,5.88
38,2025-07-01,Midi,Sur place,16,2,18.0,36.0,9.0
38,2025-07-01,Midi,Sur place,37,1,4.0,4.0,0.48
39,2025-07-01,Soir,Sur place,25,1,8.5,8.5,1.87
39,2025-07-01,Soir,Sur place,39,1,3.0,3.0,0.3
39,2025-07-01,Soir,Sur place,7,1,16.5,16.5,6.6
39,2025-07-01,Soir,Sur place,39,1,3.0,3.0,0.3
39,2025-07-01,Soir,Sur place,10,1,29.0,29.0,12.18
39,2025-07-01,Soir,Sur place,39,1,3.0,3.0,0.3
40,2025-07-01,Soir,Sur place,13,2,17.5,35.0,9.1
40,2025-07-01,Soir,Sur place,32,1,6.0,6.0,1.68
40,2025-07-01,Soir,Sur place,1,1,7.5,7.5,1.8
41,2025-07-01,Soir,A emporter,4,1,9.5,9.5,2.66
41,2025-07-01,Soir,A emporter,30,2,11.0,22.0,8.8
41,2025-07-01,Soir,A emporter,16,1,18.0,18.0,4.5
42,2025-07-01,Midi,Sur place,20,1,18.0,18.0,5.4
42,2025-07-01,Midi,Sur place,15,2,19.5,39.0,12.48
42,2025-07-01,Midi,Sur place,9,1,18.5,18.5,6.29
43,2025-07-01,Soir,Sur place,25,1,8.5,8.5,1.87
43,2025-07-01,Soir,Sur place,1,1,7.5,7.5,1.8
44,2025-07-01,Soir,A emporter,21,2,5.5,11.0,2.42
44,2025-07-01,Soir,A emporter,11,1,26.0,26.0,10.4
44,2025-07-01,Soir,A emporter,22,1,6.0,6.0,1.68
45,2025-07-01,Midi,Sur place,16,1,18.0,18.0,4.5
45,2025-07-01,Midi,Sur place,35,1,6.0,6.0,1.08
45,2025-07-01,Midi,Sur place,33,1,6.5,6.5,1.3
46,2025-07-01,Midi,Sur place,37,1,4.0,4.0,0.48
46,2025-07-01,Midi,Sur place,5,1,15.0,15.0,5.7
46,2025-07-01,Midi,Sur place,20,1,18.0,18.0,5.4
47,2025-07-01,Soir,Sur place,1,1,7.5,7.5,1.8
47,2025-07-01,Soir,Sur place,33,1,6.5,6.5,1.3
47,2025-07-01,Soir,Sur place,34,2,6.5,13.0,2.6
47,2025-07-01,Soir,Sur place,7,1,16.5,16.5,6.6
48,2025-07-01,Midi,Sur place,21,2,5.5,11.0,2.42
48,2025-07-01,Midi,Sur place,35,2,6.0,12.0,2.16
48,2025-07-01,Midi,Sur place,30,1,11.0,11.0,4.4
48,2025-07-01,Midi,Sur place,40,1,5.5,5.5,1.65
48,2025-07-01,Midi,Sur place,27,1,8.5,8.5,2.12
49,2025-07-01,Soir,Sur place,33,1,6.5,6.5,1.3
49,2025-07-01,Soir,Sur place,22,1,6.0,6.0,1.68
49,2025-07-01,Soir,Sur place,13,1,17.5,17.5,4.55
49,2025-07-01,Soir,Sur place,13,1,17.5,17.5,4.55
49,2025-07-01,Soir,Sur place,28,1,8.0,8.0,1.92
50,2025-07-01,Midi,Sur place,25,1,8.5,8.5,1.87
50,2025-07-01,Midi,Sur place,9,1,18.5,18.5,6.29
51,2025-07-01,Soir,Sur place,25,1,8.5,8.5,1.87
51,2025-07-01,Soir,Sur place,20,2,18.0,36.0,10.8
51,2025-07-01,Soir,Sur place,11,1,26.0,26.0,10.4
52,2025-07-01,Soir,Livraison,19,2,16.0,32.0,8.64
52,2025-07-01,Soir,Livraison,1,2,7.5,15.0,3.6
52,2025-07-01,Soir,Livraison,17,1,20.0,20.0,7.2
52,2025-07-01,Soir,Livraison,33,1,6.5,6.5,1.3
53,2025-07-01,Soir,Sur place,11,1,26.0,26.0,10.4
53,2025-07-01,Soir,Sur place,21,1,5.5,5.5,1.21
54,2025-07-01,Soir,Sur place,22,1,6.0,6.0,1.68
54,2025-07-01,Soir,Sur place,9,1,18.5,18.5,6.29
55,2025-07-01,Midi,Sur place,29,1,8.5,8.5,2.29
56,2025-07-01,Soir,Sur place,11,1,26.0,26.0,10.4
56,2025-07-01,Soir,Sur place,16,1,18.0,18.0,4.5
56,2025-07-01,Soir,Sur place,34,2,6.5,13.0,2.6
57,2025-07-01,Midi,Sur place,25,3,8.5,25.5,5.61
58,2025-07-01,Midi,A emporter,29,1,8.5,8.5,2.29
58,2025-07-01,Midi,A emporter,33,1,6.5,6.5,1.3
58,2025-07-01,Midi,A emporter,39,1,3.0,3.0,0.3
58,2025-07-01,Midi,A emporter,11,1,26.0,26.0,10.4
59,2025-07-01,Soir,Sur place,34,1,6.5,6.5,1.3
59,2025-07-01,Soir,Sur place,9,2,18.5,37.0,12.58
59,2025-07-01,Soir,Sur place,27,2,8.5,17.0,4.24
59,2025-07-01,Soir,Sur place,33,1,6.5,6.5,1.3
60,2025-07-01,Midi,Sur place,39,1,3.0,3.0,0.3
60,2025-07-01,Midi,Sur place,19,1,16.0,16.0,4.32
60,2025-07-01,Midi,Sur place,33,1,6.5,6.5,1.3
60,2025-07-01,Midi,Sur place,5,1,15.0,15.0,5.7
61,2025-07-01,Soir,Sur place,40,1,5.5,5.5,1.65
61,2025-07-01,Soir,Sur place,34,1,6.5,6.5,1.3
62,2025-07-02,Midi,Sur place,37,1,4.0,4.0,0.48
62,2025-07-02,Midi,Sur place,35,2,6.0,12.0,2.16
63,2025-07-02,Soir,A emporter,21,2,5.5,11.0,2.42
63,2025-07-02,Soir,A emporter,33,1,6.5,6.5,1.3
63,2025-07-02,Soir,A emporter,39,1,3.0,3.0,0.3
63,2025-07-02,Soir,A emporter,13,1,17.5,17.5,4.55
64,2025-07-02,Soir,Sur place,36,1,11.0,11.0,2.42
64,2025-07-02,Soir,Sur place,5,1,15.0,15.0,5.7
64,2025-07-02,Soir,Sur place,37,1,4.0,4.0,0.48
64,2025-07-02,Soir,Sur place,13,2,17.5,35.0,9.1
64,2025-07-02,Soir,Sur place,22,1,6.0,6.0,1.68
65,2025-07-02,Midi,A emporter,37,1,4.0,4.0,0.48
65,2025-07-02,Midi,A emporter,32,1,6.0,6.0,1.68
66,2025-07-02,Soir,Sur place,23,1,6.5,6.5,1.69
66,2025-07-02,Soir,Sur place,34,1,6.5,6.5,1.3
66,2025-07-02,Soir,Sur place,31,1,9.5,9.5,2.19
66,2025-07-02,Soir,Sur place,29,1,8.5,8.5,2.29
67,2025-07-02,Soir,Sur place,22,1,6.0,6.0,1.68
67,2025-07-02,Soir,Sur place,25,1,8.5,8.5,1.87
67,2025-07-02,Soir,Sur place,21,1,5.5,5.5,1.21
68,2025-07-02,Midi,Sur place,10,1,29.0,29.0,12.18
68,2025-07-02,Midi,Sur place,8,1,21.0,21.0,9.45
69,2025-07-02,Midi,Sur place,33,1,6.5,6.5,1.3
69,2025-07-02,Midi,Sur place,39,1,3.0,3.0,0.3
69,2025-07-02,Midi,Sur place,25,1,8.5,8.5,1.87
70,2025-07-02,Midi,Sur place,25,1,8.5,8.5,1.87
71,2025-07-02,Soir,Sur place,9,1,18.5,18.5,6.29
71,2025-07-02,Soir,Sur place,37,1,4.0,4.0,0.48
71,2025-07-02,Soir,Sur place,23,1,6.5,6.5,1.69
71,2025-07-02,Soir,Sur place,37,1,4.0,4.0,0.48
72,2025-07-02,Midi,Livraison,35,1,6.0,6.0,1.08
72,2025-07-02,Midi,Livraison,20,1,18.0,18.0,5.4
72,2025-07-02,Midi,Livraison,5,1,15.0,15.0,5.7
73,2025-07-02,Soir,Sur place,8,1,21.0,21.0,9.45
73,2025-07-02,Soir,Sur place,34,1,6.5,6.5,1.3
73,2025-07-02,Soir,Sur place,27,2,8.5,17.0,4.24
73,2025-07-02,Soir,Sur place,35,3,6.0,18.0,3.24
73,2025-07-02,Soir,Sur place,12,1,21.0,21.0,5.88
73,2025-07-02,Soir,Sur place,25,1,8.5,8.5,1.87
74,2025-07-02,Soir,A emporter,11,1,26.0,26.0,10.4
74,2025-07-02,Soir,A emporter,11,1,26.0,26.0,10.4
74,2025-07-02,Soir,A emporter,30,1,11.0,11.0,4.4
74,2025-07-02,Soir,A emporter,9,1,18.5,18.5,6.29
74,2025-07-02,Soir,A emporter,10,1,29.0,29.0,12.18
75,2025-07-02,Midi,A emporter,21,1,5.5,5.5,1.21
75,2025-07-02,Midi,A emporter,31,1,9.5,9.5,2.19
75,2025-07-02,Midi,A emporter,38,2,4.5,9.0,1.34
75,2025-07-02,Midi,A emporter,35,1,6.0,6.0,1.08
76,2025-07-02,Soir,A emporter,36,1,11.0,11.0,2.42
76,2025-07-02,Soir,A emporter,4,1,9.5,9.5,2.66
76,2025-07-02,Soir,A emporter,9,1,18.5,18.5,6.29
76,2025-07-02,Soir,A emporter,15,1,19.5,19.5,6.24
76,2025-07-02,Soir,A emporter,33,1,6.5,6.5,1.3
77,2025-07-02,Soir,Sur place,5,1,15.0,15.0,5.7
77,2025-07-02,Soir,Sur place,3,1,13.5,13.5,4.46
77,2025-07-02,Soir,Sur place,21,1,5.5,5.5,1.21
78,2025-07-02,Soir,A emporter,39,1,3.0,3.0,0.3
78,2025-07-02,Soir,A emporter,40,1,5.5,5.5,1.65
78,2025-07-02,Soir,A emporter,31,1,9.5,9.5,2.19
79,2025-07-02,Soir,A emporter,10,1,29.0,29.0,12.18
79,2025-07-02,Soir,A emporter,26,1,9.0,9.0,2.34
79,2025-07-02,Soir,A emporter,28,1,8.0,8.0,1.92
79,2025-07-02,Soir,A emporter,23,2,6.5,13.0,3.38
79,2025-07-02,Soir,A emporter,6,1,10.5,10.5,3.25
80,2025-07-02,Soir,Sur place,35,3,6.0,18.0,3.24
80,2025-07-02,Soir,Sur place,25,1,8.5,8.5,1.87
80,2025-07-02,Soir,Sur place,21,1,5.5,5.5,1.21
80,2025-07-02,Soir,Sur place,15,3,19.5,58.5,18.72
80,2025-07-02,Soir,Sur place,15,1,19.5,19.5,6.24
81,2025-07-02,Soir,Sur place,18,1,22.5,22.5,7.87
81,2025-07-02,Soir,Sur place,34,1,6.5,6.5,1.3
82,2025-07-02,Midi,Sur place,21,1,5.5,5.5,1.21
82,2025-07-02,Midi,Sur place,32,1,6.0,6.0,1.68
82,2025-07-02,Midi,Sur place,8,1,21.0,21.0,9.45
82,2025-07-02,Midi,Sur place,39,1,3.0,3.0,0.3
82,2025-07-02,Midi,Sur place,27,1,8.5,8.5,2.12
83,2025-07-02,Soir,Livraison,8,1,21.0,21.0,9.45
83,2025-07-02,Soir,Livraison,36,1,11.0,11.0,2.42
83,2025-07-02,Soir,Livraison,24,1,4.5,4.5,0.9
84,2025-07-02,Soir,Livraison,25,2,8.5,17.0,3.74
84,2025-07-02,Soir,Livraison,19,1,16.0,16.0,4.32
85,2025-07-02,Soir,Livraison,35,2,6.0,12.0,2.16
85,2025-07-02,Soir,Livraison,20,1,18.0,18.0,5.4
86,2025-07-02,Soir,Sur place,26,1,9.0,9.0,2.34
86,2025-07-02,Soir,Sur place,40,1,5.5,5.5,1.65
87,2025-07-02,Soir,Sur place,25,1,8.5,8.5,1.87
87,2025-07-02,Soir,Sur place,21,1,5.5,5.5,1.21
87,2025-07-02,Soir,Sur place,15,1,19.5,19.5,6.24
88,2025-07-02,Midi,A emporter,33,1,6.5,6.5,1.3
89,2025-07-02,Soir,Sur place,35,1,6.0,6.0,1.08
89,2025-07-02,Soir,Sur place,40,1,5.5,5.5,1.65
89,2025-07-02,Soir,Sur place,23,2,6.5,13.0,3.38
89,2025-07-02,Soir,Sur place,2,2,11.0,22.0,6.6
90,2025-07-02,Soir,Sur place,33,1,6.5,6.5,1.3
90,2025-07-02,Soir,Sur place,20,1,18.0,18.0,5.4
90,2025-07-02,Soir,Sur place,29,2,8.5,17.0,4.58
91,2025-07-02,Midi,A emporter,37,1,4.0,4.0,0.48
91,2025-07-02,Midi,A emporter,37,1,4.0,4.0,0.48
91,2025-07-02,Midi,A emporter,37,1,4.0,4.0,0.48
91,2025-07-02,Midi,A emporter,19,2,16.0,32.0,8.64
92,2025-07-02,Midi,Sur place,38,1,4.5,4.5,0.67
92,2025-07-02,Midi,Sur place,40,1,5.5,5.5,1.65
92,2025-07-02,Midi,Sur place,33,1,6.5,6.5,1.3
93,2025-07-02,Soir,Sur place,38,1,4.5,4.5,0.67
93,2025-07-02,Soir,Sur place,3,1,13.5,13.5,4.46
93,2025-07-02,Soir,Sur place,35,1,6.0,6.0,1.08
93,2025-07-02,Soir,Sur place,14,1,27.5,27.5,11.27
94,2025-07-02,Soir,Sur place,37,1,4.0,4.0,0.48
95,2025-07-02,Midi,Livraison,21,1,5.5,5.5,1.21
95,2025-07-02,Midi,Livraison,13,1,17.5,17.5,4.55
96,2025-07-02,Soir,Livraison,9,1,18.5,18.5,6.29
96,2025-07-02,Soir,Livraison,21,1,5.5,5.5,1.21
96,2025-07-02,Soir,Livraison,17,1,20.0,20.0,7.2
96,2025-07-02,Soir,Livraison,26,2,9.0,18.0,4.68
97,2025-07-02,Midi,Sur place,12,3,21.0,63.0,17.64
97,2025-07-02,Midi,Sur place,26,1,9.0,9.0,2.34
97,2025-07-02,Midi,Sur place,26,3,9.0,27.0,7.02
98,2025-07-02,Soir,Sur place,31,1,9.5,9.5,2.19
98,2025-07-02,Soir,Sur place,33,1,6.5,6.5,1.3
98,2025-07-02,Soir,Sur place,3,2,13.5,27.0,8.92
99,2025-07-02,Midi,A emporter,17,1,20.0,20.0,7.2
99,2025-07-02,Midi,A emporter,28,1,8.0,8.0,1.92
99,2025-07-02,Midi,A emporter,28,1,8.0,8.0,1.92
100,2025-07-02,Soir,A emporter,29,1,8.5,8.5,2.29
100,2025-07-02,Soir,A emporter,15,1,19.5,19.5,6.24
100,2025-07-02,Soir,A emporter,21,1,5.5,5.5,1.21
100,2025-07-02,Soir,A emporter,26,1,9.0,9.0,2.34
100,2025-07-02,Soir,A emporter,33,1,6.5,6.5,1.3
101,2025-07-02,Soir,Livraison,38,2,4.5,9.0,1.34
101,2025-07-02,Soir,Livraison,36,1,11.0,11.0,2.42
101,2025-07-02,Soir,Livraison,13,2,17.5,35.0,9.1
102,2025-07-02,Soir,Sur place,39,2,3.0,6.0,0.6
102,2025-07-02,Soir,Sur place,9,2,18.5,37.0,12.58
103,2025-07-02,Soir,Livraison,35,1,6.0,6.0,1.08
103,2025-07-02,Soir,Livraison,18,1,22.5,22.5,7.87
103,2025-07-02,Soir,Livraison,35,1,6.0,6.0,1.08
103,2025-07-02,Soir,Livraison,1,2,7.5,15.0,3.6
103,2025-07-02,Soir,Livraison,25,2,8.5,17.0,3.74
103,2025-07-02,Soir,Livraison,21,1,5.5,5.5,1.21
104,2025-07-02,Midi,Sur place,26,2,9.0,18.0,4.68
104,2025-07-02,Midi,Sur place,38,1,4.5,4.5,0.67
104,2025-07-02,Midi,Sur place,12,1,21.0,21.0,5.88
104,2025-07-02,Midi,Sur place,4,1,9.5,9.5,2.66
104,2025-07-02,Midi,Sur place,35,2,6.0,12.0,2.16
105,2025-07-02,Midi,Sur place,37,1,4.0,4.0,0.48
106,2025-07-02,Soir,A emporter,39,1,3.0,3.0,0.3
106,2025-07-02,Soir,A emporter,20,1,18.0,18.0,5.4
106,2025-07-02,Soir,A emporter,33,1,6.5,6.5,1.3
106,2025-07-02,Soir,A emporter,9,1,18.5,18.5,6.29
107,2025-07-02,Soir,Sur place,21,1,5.5,5.5,1.21
107,2025-07-02,Soir,Sur place,39,1,3.0,3.0,0.3
107,2025-07-02,Soir,Sur place,37,1,4.0,4.0,0.48
108,2025-07-02,Soir,Sur place,10,1,29.0,29.0,12.18
108,2025-07-02,Soir,Sur place,9,1,18.5,18.5,6.29
108,2025-07-02,Soir,Sur place,36,1,11.0,11.0,2.42
109,2025-07-02,Soir,Sur place,13,1,17.5,17.5,4.55
109,2025-07-02,Soir,Sur place,9,1,18.5,18.5,6.29
109,2025-07-02,Soir,Sur place,26,1,9.0,9.0,2.34
109,2025-07-02,Soir,Sur place,4,2,9.5,19.0,5.32
110,2025-07-02,Midi,Sur place,1,1,7.5,7.5,1.8
110,2025-07-02,Midi,Sur place,37,1,4.0,4.0,0.48
110,2025-07-02,Midi,Sur place,9,1,18.5,18.5,6.29
110,2025-07-02,Midi,Sur place,9,1,18.5,18.5,6.29
110,2025-07-02,Midi,Sur place,13,1,17.5,17.5,4.55
111,2025-07-02,Midi,Sur place,3,1,13.5,13.5,4.46
111,2025-07-02,Midi,Sur place,33,1,6.5,6.5,1.3
112,2025-07-02,Soir,A emporter,7,1,16.5,16.5,6.6
112,2025-07-02,Soir,A emporter,24,1,4.5,4.5,0.9
112,2025-07-02,Soir,A emporter,39,2,3.0,6.0,0.6
113,2025-07-02,Soir,Sur place,4,1,9.5,9.5,2.66
113,2025-07-02,Soir,Sur place,22,1,6.0,6.0,1.68
113,2025-07-02,Soir,Sur place,20,1,18.0,18.0,5.4
113,2025-07-02,Soir,Sur place,31,1,9.5,9.5,2.19
113,2025-07-02,Soir,Sur place,23,1,6.5,6.5,1.69
113,2025-07-02,Soir,Sur place,38,1,4.5,4.5,0.67
114,2025-07-02,Soir,Sur place,25,1,8.5,8.5,1.87
114,2025-07-02,Soir,Sur place,21,1,5.5,5.5,1.21
114,2025-07-02,Soir,Sur place,27,1,8.5,8.5,2.12
114,2025-07-02,Soir,Sur place,6,1,10.5,10.5,3.25
114,2025-07-02,Soir,Sur place,32,1,6.0,6.0,1.68
114,2025-07-02,Soir,Sur place,37,1,4.0,4.0,0.48
115,2025-07-02,Midi,Sur place,6,1,10.5,10.5,3.25
115,2025-07-02,Midi,Sur place,21,1,5.5,5.5,1.21
115,2025-07-02,Midi,Sur place,30,2,11.0,22.0,8.8
116,2025-07-02,Midi,A emporter,6,1,10.5,10.5,3.25
117,2025-07-02,Soir,Sur place,26,1,9.0,9.0,2.34
117,2025-07-02,Soir,Sur place,16,1,18.0,18.0,4.5
117,2025-07-02,Soir,Sur place,9,1,18.5,18.5,6.29
118,2025-07-02,Soir,A emporter,27,1,8.5,8.5,2.12
118,2025-07-02,Soir,A emporter,17,2,20.0,40.0,14.4
118,2025-07-02,Soir,A emporter,26,1,9.0,9.0,2.34
118,2025-07-02,Soir,A emporter,11,1,26.0,26.0,10.4
118,2025-07-02,Soir,A emporter,29,1,8.5,8.5,2.29
118,2025-07-02,Soir,A emporter,12,2,21.0,42.0,11.76
119,2025-07-02,Soir,Livraison,28,2,8.0,16.0,3.84
119,2025-07-02,Soir,Livraison,29,1,8.5,8.5,2.29
119,2025-07-02,Soir,Livraison,2,1,11.0,11.0,3.3
119,2025-07-02,Soir,Livraison,38,1,4.5,4.5,0.67
120,2025-07-02,Midi,Sur place,37,1,4.0,4.0,0.48
121,2025-07-02,Midi,Sur place,2,1,11.0,11.0,3.3
121,2025-07-02,Midi,Sur place,33,1,6.5,6.5,1.3
121,2025-07-02,Midi,Sur place,11,1,26.0,26.0,10.4
122,2025-07-02,Soir,A emporter,5,1,15.0,15.0,5.7
122,2025-07-02,Soir,A emporter,3,1,13.5,13.5,4.46
122,2025-07-02,Soir,A emporter,9,1,18.5,18.5,6.29
123,2025-07-03,Soir,Sur place,7,1,16.5,16.5,6.6
123,2025-07-03,Soir,Sur place,21,1,5.5,5.5,1.21
123,2025-07-03,Soir,Sur place,14,1,27.5,27.5,11.27
123,2025-07-03,Soir,Sur place,31,1,9.5,9.5,2.19
124,2025-07-03,Soir,Sur place,11,1,26.0,26.0,10.4
124,2025-07-03,Soir,Sur place,9,1,18.5,18.5,6.29
125,2025-07-03,Midi,A emporter,19,1,16.0,16.0,4.32
125,2025-07-03,Midi,A emporter,32,2,6.0,12.0,3.36
126,2025-07-03,Soir,Sur place,3,1,13.5,13.5,4.46
126,2025-07-03,Soir,Sur place,2,1,11.0,11.0,3.3
126,2025-07-03,Soir,Sur place,38,1,4.5,4.5,0.67
126,2025-07-03,Soir,Sur place,37,1,4.0,4.0,0.48
126,2025-07-03,Soir,Sur place,26,1,9.0,9.0,2.34
127,2025-07-03,Midi,A emporter,36,2,11.0,22.0,4.84
127,2025-07-03,Midi,A emporter,38,1,4.5,4.5,0.67
