Date,Annee,MoisNum,MoisNom,AnneeMois,Trimestre,Jour,JourSemaineNum,JourSemaineNom,EstWeekend
2025-07-31,2025,7,Juillet,2025-07,T3,31,4,Jeudi,0
2025-08-01,2025,8,Aout,2025-08,T3,1,5,Vendredi,0
2025-08-02,2025,8,Aout,2025-08,T3,2,6,Samedi,1
2025-08-03,2025,8,Aout,2025-08,T3,3,7,Dimanche,1
2025-08-04,2025,8,Aout,2025-08,T3,4,1,Lundi,0
2025-08-05,2025,8,Aout,2025-08,T3,5,2,Mardi,0
2025-08-06,2025,8,Aout,2025-08,T3,6,3,Mercredi,0
2025-08-07,2025,8,Aout,2025-08,T3,7,4,Jeudi,0
2025-08-08,2025,8,Aout,2025-08,T3,8,5,Vendredi,0
2025-08-09,2025,8,Aout,2025-08,T3,9,6,Samedi,1
2025-08-10,2025,8,Aout,2025-08,T3,10,7,Dimanche,1
2025-08-11,2025,8,Aout,2025-08,T3,11,1,Lundi,0
2025-08-12,2025,8,Aout,2025-08,T3,12,2,Mardi,0
2025-08-13,2025,8,Aout,2025-08,T3,13,3,Mercredi,0
2025-08-14,2025,8,Aout,2025-08,T3,14,4,Jeudi,0
2025-08-15,2025,8,Aout,2025-08,T3,15,5,Vendredi,0
2025-08-16,2025,8,Aout,2025-08,T3,16,6,Samedi,1
2025-08-17,2025,8,Aout,2025-08,T3,17,7,Dimanche,1
2025-08-18,2025,8,Aout,2025-08,T3,18,1,Lundi,0
2025-08-19,2025,8,Aout,2025-08,T3,19,2,Mardi,0
2025-08-20,2025,8,Aout,2025-08,T3,20,3,Mercredi,0
2025-08-21,2025,8,Aout,2025-08,T3,21,4,Jeudi,0
2025-08-22,2025,8,Aout,2025-08,T3,22,5,Vendredi,0
2025-08-23,2025,8,Aout,2025-08,T3,23,6,Samedi,1
2025-08-24,2025,8,Aout,2025-08,T3,24,7,Dimanche,1
2025-08-25,2025,8,Aout,2025-08,T3,25,1,Lundi,0
2025-08-26,2025,8,Aout,2025-08,T3,26,2,Mardi,0
2025-08-27,2025,8,Aout,2025-08,T3,27,3,Mercredi,0
2025-08-28,2025,8,Aout,2025-08,T3,28,4,Jeudi,0
2025-08-29,2025,8,Aout,2025-08,T3,29,5,Vendredi,0
2025-08-30,2025,8,Aout,2025-08,T3,30,6,Samedi,1
2025-08-31,2025,8,Aout,2025-08,T3,31,7,Dimanche,1
2025-09-01,2025,9,Septembre,2025-09,T3,1,1,Lundi,0
2025-09-02,2025,9,Septembre,2025-09,T3,2,2,Mardi,0
2025-09-03,2025,9,Septembre,2025-09,T3,3,3,Mercredi,0
2025-09-04,2025,9,Septembre,2025-09,T3,4,4,Jeudi,0
2025-09-05,2025,9,Septembre,2025-09,T3,5,5,Vendredi,0
2025-09-06,2025,9,Septembre,2025-09,T3,6,6,Samedi,1
2025-09-07,2025,9,Septembre,2025-09,T3,7,7,Dimanche,1
2025-09-08,2025,9,Septembre,2025-09,T3,8,1,Lundi,0
2025-09-09,2025,9,Septembre,2025-09,T3,9,2,Mardi,0
2025-09-10,2025,9,Septembre,2025-09,T3,10,3,Mercredi,0
2025-09-11,2025,9,Septembre,2025-09,T3,11,4,Jeudi,0
2025-09-12,2025,9,Septembre,2025-09,T3,12,5,Vendredi,0
2025-09-13,2025,9,Septembre,2025-09,T3,13,6,Samedi,1
2025-09-14,2025,9,Septembre,2025-09,T3,14,7,Dimanche,1
2025-09-15,2025,9,Septembre,2025-09,T3,15,1,Lundi,0
2025-09-16,2025,9,Septembre,2025-09,T3,16,2,Mardi,0
2025-09-17,2025,9,Septembre,2025-09,T3,17,3,Mercredi,0
2025-09-18,2025,9,Septembre,2025-09,T3,18,4,Jeudi,0
2025-09-19,2025,9,Septembre,2025-09,T3,19,5,Vendredi,0
2025-09-20,2025,9,Septembre,2025-09,T3,20,6,Samedi,1
2025-09-21,2025,9,Septembre,2025-09,T3,21,7,Dimanche,1
2025-09-22,2025,9,Septembre,2025-09,T3,22,1,Lundi,0
2025-09-23,2025,9,Septembre,2025-09,T3,23,2,Mardi,0
2025-09-24,2025,9,Septembre,2025-09,T3,24,3,Mercredi,0
2025-09-25,2025,9,Septembre,2025-09,T3,25,4,Jeudi,0
2025-09-26,2025,9,Septembre,2025-09,T3,26,5,Vendredi,0
2025-09-27,2025,9,Septembre,2025-09,T3,27,6,Samedi,1
2025-09-28,2025,9,Septembre,2025-09,T3,28,7,Dimanche,1
2025-09-29,2025,9,Septembre,2025-09,T3,29,1,Lundi,0
2025-09-30,2025,9,Septembre,2025-09,T3,30,2,Mardi,0
2025-10-01,2025,10,Octobre,2025-10,T4,1,3,Mercredi,0
2025-10-02,2025,10,Octobre,2025-10,T4,2,4,Jeudi,0
2025-10-03,2025,10,Octobre,2025-10,T4,3,5,Vendredi,0
2025-10-04,2025,10,Octobre,2025-10,T4,4,6,Samedi,1
2025-10-05,2025,10,Octobre,2025-10,T4,5,7,Dimanche,1
2025-10-06,2025,10,Octobre,2025-10,T4,6,1,Lundi,0
2025-10-07,2025,10,Octobre,2025-10,T4,7,2,Mardi,0
2025-10-08,2025,10,Octobre,2025-10,T4,8,3,Mercredi,0
2025-10-09,2025,10,Octobre,2025-10,T4,9,4,Jeudi,0
2025-10-10,2025,10,Octobre,2025-10,T4,10,5,Vendredi,0
2025-10-11,2025,10,Octobre,2025-10,T4,11,6,Samedi,1
2025-10-12,2025,10,Octobre,2025-10,T4,12,7,Dimanche,1
2025-10-13,2025,10,Octobre,2025-10,T4,13,1,Lundi,0
2025-10-14,2025,10,Octobre,2025-10,T4,14,2,Mardi,0
2025-10-15,2025,10,Octobre,2025-10,T4,15,3,Mercredi,0
2025-10-16,2025,10,Octobre,2025-10,T4,16,4,Jeudi,0
2025-10-17,2025,10,Octobre,2025-10,T4,17,5,Vendredi,0
2025-10-18,2025,10,Octobre,2025-10,T4,18,6,Samedi,1
2025-10-19,2025,10,Octobre,2025-10,T4,19,7,Dimanche,1
2025-10-20,2025,10,Octobre,2025-10,T4,20,1,Lundi,0
2025-10-21,2025,10,Octobre,2025-10,T4,21,2,Mardi,0
2025-10-22,2025,10,Octobre,2025-10,T4,22,3,Mercredi,0
2025-10-23,2025,10,Octobre,2025-10,T4,23,4,Jeudi,0
2025-10-24,2025,10,Octobre,2025-10,T4,24,5,Vendredi,0
2025-10-25,2025,10,Octobre,2025-10,T4,25,6,Samedi,1
2025-10-26,2025,10,Octobre,2025-10,T4,26,7,Dimanche,1
2025-10-27,2025,10,Octobre,2025-10,T4,27,1,Lundi,0
2025-10-28,2025,10,Octobre,2025-10,T4,28,2,Mardi,0
2025-10-29,2025,10,Octobre,2025-10,T4,29,3,Mercredi,0
2025-10-30,2025,10,Octobre,2025-10,T4,30,4,Jeudi,0
2025-10-31,2025,10,Octobre,2025-10,T4,31,5,Vendredi,0
2025-11-01,2025,11,Novembre,2025-11,T4,1,6,Samedi,1
2025-11-02,2025,11,Novembre,2025-11,T4,2,7,Dimanche,1
2025-11-03,2025,11,Novembre,2025-11,T4,3,1,Lundi,0
2025-11-04,2025,11,Novembre,2025-11,T4,4,2,Mardi,0
2025-11-05,2025,11,Novembre,2025-11,T4,5,3,Mercredi,0
2025-11-06,2025,11,Novembre,2025-11,T4,6,4,Jeudi,0
2025-11-07,2025,11,Novembre,2025-11,T4,7,5,Vendredi,0
2025-11-08,2025,11,Novembre,2025-11,T4,8,6,Samedi,1
2025-11-09,2025,11,Novembre,2025-11,T4,9,7,Dimanche,1
2025-11-10,2025,11,Novembre,2025-11,T4,10,1,Lundi,0
2025-11-11,2025,11,Novembre,2025-11,T4,11,2,Mardi,0
2025-11-12,2025,11,Novembre,2025-11,T4,12,3,Mercredi,0
2025-11-13,2025,11,Novembre,2025-11,T4,13,4,Jeudi,0
2025-11-14,2025,11,Novembre,2025-11,T4,14,5,Vendredi,0
2025-11-15,2025,11,Novembre,2025-11,T4,15,6,Samedi,1
2025-11-16,2025,11,Novembre,2025-11,T4,16,7,Dimanche,1
2025-11-17,2025,11,Novembre,2025-11,T4,17,1,Lundi,0
2025-11-18,2025,11,Novembre,2025-11,T4,18,2,Mardi,0
2025-11-19,2025,11,Novembre,2025-11,T4,19,3,Mercredi,0
2025-11-20,2025,11,Novembre,2025-11,T4,20,4,Jeudi,0
2025-11-21,2025,11,Novembre,2025-11,T4,21,5,Vendredi,0
2025-11-22,2025,11,Novembre,2025-11,T4,22,6,Samedi,1
2025-11-23,2025,11,Novembre,2025-11,T4,23,7,Dimanche,1
2025-11-24,2025,11,Novembre,2025-11,T4,24,1,Lundi,0
2025-11-25,2025,11,Novembre,2025-11,T4,25,2,Mardi,0
2025-11-26,2025,11,Novembre,2025-11,T4,26,3,Mercredi,0
2025-11-27,2025,11,Novembre,2025-11,T4,27,4,Jeudi,0
2025-11-28,2025,11,Novembre,2025-11,T4,28,5,Vendredi,0
2025-11-29,2025,11,Novembre,2025-11,T4,29,6,Samedi,1
2025-11-30,2025,11,Novembre,2025-11,T4,30,7,Dimanche,1
2025-12-01,2025,12,Decembre,2025-12,T4,1,1,Lundi,0
2025-12-02,2025,12,Decembre,2025-12,T4,2,2,Mardi,0
2025-12-03,2025,12,Decembre,2025-12,T4,3,3,Mercredi,0
2025-12-04,2025,12,Decembre,2025-12,T4,4,4,Jeudi,0
2025-12-05,2025,12,Decembre,2025-12,T4,5,5,Vendredi,0
2025-12-06,2025,12,Decembre,2025-12,T4,6,6,Samedi,1
2025-12-07,2025,12,Decembre,2025-12,T4,7,7,Dimanche,1
2025-12-08,2025,12,Decembre,2025-12,T4,8,1,Lundi,0
2025-12-09,2025,12,Decembre,2025-12,T4,9,2,Mardi,0
2025-12-10,2025,12,Decembre,2025-12,T4,10,3,Mercredi,0
2025-12-11,2025,12,Decembre,2025-12,T4,11,4,Jeudi,0
2025-12-12,2025,12,Decembre,2025-12,T4,12,5,Vendredi,0
2025-12-13,2025,12,Decembre,2025-12,T4,13,6,Samedi,1
2025-12-14,2025,12,Decembre,2025-12,T4,14,7,Dimanche,1
2025-12-15,2025,12,Decembre,2025-12,T4,15,1,Lundi,0
2025-12-16,2025,12,Decembre,2025-12,T4,16,2,Mardi,0
2025-12-17,2025,12,Decembre,2025-12,T4,17,3,Mercredi,0
2025-12-18,2025,12,Decembre,2025-12,T4,18,4,Jeudi,0
2025-12-19,2025,12,Decembre,2025-12,T4,19,5,Vendredi,0
2025-12-20,2025,12,Decembre,2025-12,T4,20,6,Samedi,1
2025-12-21,2025,12,Decembre,2025-12,T4,21,7,Dimanche,1
2025-12-22,2025,12,Decembre,2025-12,T4,22,1,Lundi,0
2025-12-23,2025,12,Decembre,2025-12,T4,23,2,Mardi,0
2025-12-24,2025,12,Decembre,2025-12,T4,24,3,Mercredi,0
2025-12-25,2025,12,Decembre,2025-12,T4,25,4,Jeudi,0
2025-12-26,2025,12,Decembre,2025-12,T4,26,5,Vendredi,0
2025-12-27,2025,12,Decembre,2025-12,T4,27,6,Samedi,1
2025-12-28,2025,12,Decembre,2025-12,T4,28,7,Dimanche,1
2025-12-29,2025,12,Decembre,2025-12,T4,29,1,Lundi,0
2025-12-30,2025,12,Decembre,2025-12,T4,30,2,Mardi,0
2025-12-31,2025,12,Decembre,2025-12,T4,31,3,Mercredi,0
2026-01-01,2026,1,Janvier,2026-01,T1,1,4,Jeudi,0
2026-01-02,2026,1,Janvier,2026-01,T1,2,5,Vendredi,0
2026-01-03,2026,1,Janvier,2026-01,T1,3,6,Samedi,1
2026-01-04,2026,1,Janvier,2026-01,T1,4,7,Dimanche,1
2026-01-05,2026,1,Janvier,2026-01,T1,5,1,Lundi,0
2026-01-06,2026,1,Janvier,2026-01,T1,6,2,Mardi,0
2026-01-07,2026,1,Janvier,2026-01,T1,7,3,Mercredi,0
2026-01-08,2026,1,Janvier,2026-01,T1,8,4,Jeudi,0
2026-01-09,2026,1,Janvier,2026-01,T1,9,5,Vendredi,0
2026-01-10,2026,1,Janvier,2026-01,T1,10,6,Samedi,1
2026-01-11,2026,1,Janvier,2026-01,T1,11,7,Dimanche,1
2026-01-12,2026,1,Janvier,2026-01,T1,12,1,Lundi,0
2026-01-13,2026,1,Janvier,2026-01,T1,13,2,Mardi,0
2026-01-14,2026,1,Janvier,2026-01,T1,14,3,Mercredi,0
2026-01-15,2026,1,Janvier,2026-01,T1,15,4,Jeudi,0
2026-01-16,2026,1,Janvier,2026-01,T1,16,5,Vendredi,0
2026-01-17,2026,1,Janvier,2026-01,T1,17,6,Samedi,1
2026-01-18,2026,1,Janvier,2026-01,T1,18,7,Dimanche,1
2026-01-19,2026,1,Janvier,2026-01,T1,19,1,Lundi,0
2026-01-20,2026,1,Janvier,2026-01,T1,20,2,Mardi,0
2026-01-21,2026,1,Janvier,2026-01,T1,21,3,Mercredi,0
2026-01-22,2026,1,Janvier,2026-01,T1,22,4,Jeudi,0
2026-01-23,2026,1,Janvier,2026-01,T1,23,5,Vendredi,0
2026-01-24,2026,1,Janvier,2026-01,T1,24,6,Samedi,1
2026-01-25,2026,1,Janvier,2026-01,T1,25,7,Dimanche,1
2026-01-26,2026,1,Janvier,2026-01,T1,26,1,Lundi,0
2026-01-27,2026,1,Janvier,2026-01,T1,27,2,Mardi,0
2026-01-28,2026,1,Janvier,2026-01,T1,28,3,Mercredi,0
2026-01-29,2026,1,Janvier,2026-01,T1,29,4,Jeudi,0
2026-01-30,2026,1,Janvier,2026-01,T1,30,5,Vendredi,0
2026-01-31,2026,1,Janvier,2026-01,T1,31,6,Samedi,1
2026-02-01,2026,2,Fevrier,2026-02,T1,1,7,Dimanche,1
2026-02-02,2026,2,Fevrier,2026-02,T1,2,1,Lundi,0
2026-02-03,2026,2,Fevrier,2026-02,T1,3,2,Mardi,0
2026-02-04,2026,2,Fevrier,2026-02,T1,4,3,Mercredi,0
2026-02-05,2026,2,Fevrier,2026-02,T1,5,4,Jeudi,0
2026-02-06,2026,2,Fevrier,2026-02,T1,6,5,Vendredi,0
2026-02-07,2026,2,Fevrier,2026-02,T1,7,6,Samedi,1
2026-02-08,2026,2,Fevrier,2026-02,T1,8,7,Dimanche,1
2026-02-09,2026,2,Fevrier,2026-02,T1,9,1,Lundi,0
2026-02-10,2026,2,Fevrier,2026-02,T1,10,2,Mardi,0
2026-02-11,2026,2,Fevrier,2026-02,T1,11,3,Mercredi,0
2026-02-12,2026,2,Fevrier,2026-02,T1,12,4,Jeudi,0
2026-02-13,2026,2,Fevrier,2026-02,T1,13,5,Vendredi,0
2026-02-14,2026,2,Fevrier,2026-02,T1,14,6,Samedi,1
2026-02-15,2026,2,Fevrier,2026-02,T1,15,7,Dimanche,1
2026-02-16,2026,2,Fevrier,2026-02,T1,16,1,Lundi,0
2026-02-17,2026,2,Fevrier,2026-02,T1,17,2,Mardi,0
2026-02-18,2026,2,Fevrier,2026-02,T1,18,3,Mercredi,0
2026-02-19,2026,2,Fevrier,2026-02,T1,19,4,Jeudi,0
2026-02-20,2026,2,Fevrier,2026-02,T1,20,5,Vendredi,0
2026-02-21,2026,2,Fevrier,2026-02,T1,21,6,Samedi,1
2026-02-22,2026,2,Fevrier,2026-02,T1,22,7,Dimanche,1
2026-02-23,2026,2,Fevrier,2026-02,T1,23,1,Lundi,0
2026-02-24,2026,2,Fevrier,2026-02,T1,24,2,Mardi,0
2026-02-25,2026,2,Fevrier,2026-02,T1,25,3,Mercredi,0
2026-02-26,2026,2,Fevrier,2026-02,T1,26,4,Jeudi,0
2026-02-27,2026,2,Fevrier,2026-02,T1,27,5,Vendredi,0
2026-02-28,2026,2,Fevrier,2026-02,T1,28,6,Samedi,1
2026-03-01,2026,3,Mars,2026-03,T1,1,7,Dimanche,1
2026-03-02,2026,3,Mars,2026-03,T1,2,1,Lundi,0
2026-03-03,2026,3,Mars,2026-03,T1,3,2,Mardi,0
2026-03-04,2026,3,Mars,2026-03,T1,4,3,Mercredi,0
2026-03-05,2026,3,Mars,2026-03,T1,5,4,Jeudi,0
2026-03-06,2026,3,Mars,2026-03,T1,6,5,Vendredi,0
2026-03-07,2026,3,Mars,2026-03,T1,7,6,Samedi,1
2026-03-08,2026,3,Mars,2026-03,T1,8,7,Dimanche,1
2026-03-09,2026,3,Mars,2026-03,T1,9,1,Lundi,0
2026-03-10,2026,3,Mars,2026-03,T1,10,2,Mardi,0
2026-03-11,2026,3,Mars,2026-03,T1,11,3,Mercredi,0
2026-03-12,2026,3,Mars,2026-03,T1,12,4,Jeudi,0
2026-03-13,2026,3,Mars,2026-03,T1,13,5,Vendredi,0
2026-03-14,2026,3,Mars,2026-03,T1,14,6,Samedi,1
2026-03-15,2026,3,Mars,2026-03,T1,15,7,Dimanche,1
2026-03-16,2026,3,Mars,2026-03,T1,16,1,Lundi,0
2026-03-17,2026,3,Mars,2026-03,T1,17,2,Mardi,0
2026-03-18,2026,3,Mars,2026-03,T1,18,3,Mercredi,0
2026-03-19,2026,3,Mars,2026-03,T1,19,4,Jeudi,0
2026-03-20,2026,3,Mars,2026-03,T1,20,5,Vendredi,0
2026-03-21,2026,3,Mars,2026-03,T1,21,6,Samedi,1
2026-03-22,2026,3,Mars,2026-03,T1,22,7,Dimanche,1
2026-03-23,2026,3,Mars,2026-03,T1,23,1,Lundi,0
2026-03-24,2026,3,Mars,2026-03,T1,24,2,Mardi,0
2026-03-25,2026,3,Mars,2026-03,T1,25,3,Mercredi,0
2026-03-26,2026,3,Mars,2026-03,T1,26,4,Jeudi,0
2026-03-27,2026,3,Mars,2026-03,T1,27,5,Vendredi,0
2026-03-28,2026,3,Mars,2026-03,T1,28,6,Samedi,1
2026-03-29,2026,3,Mars,2026-03,T1,29,7,Dimanche,1
2026-03-30,2026,3,Mars,2026-03,T1,30,1,Lundi,0
2026-03-31,2026,3,Mars,2026-03,T1,31,2,Mardi,0
2026-04-01,2026,4,Avril,2026-04,T2,1,3,Mercredi,0
2026-04-02,2026,4,Avril,2026-04,T2,2,4,Jeudi,0
2026-04-03,2026,4,Avril,2026-04,T2,3,5,Vendredi,0
2026-04-04,2026,4,Avril,2026-04,T2,4,6,Samedi,1
2026-04-05,2026,4,Avril,2026-04,T2,5,7,Dimanche,1
2026-04-06,2026,4,Avril,2026-04,T2,6,1,Lundi,0
2026-04-07,2026,4,Avril,2026-04,T2,7,2,Mardi,0
2026-04-08,2026,4,Avril,2026-04,T2,8,3,Mercredi,0
2026-04-09,2026,4,Avril,2026-04,T2,9,4,Jeudi,0
2026-04-10,2026,4,Avril,2026-04,T2,10,5,Vendredi,0
2026-04-11,2026,4,Avril,2026-04,T2,11,6,Samedi,1
2026-04-12,2026,4,Avril,2026-04,T2,12,7,Dimanche,1
2026-04-13,2026,4,Avril,2026-04,T2,13,1,Lundi,0
2026-04-14,2026,4,Avril,2026-04,T2,14,2,Mardi,0
2026-04-15,2026,4,Avril,2026-04,T2,15,3,Mercredi,0
2026-04-16,2026,4,Avril,2026-04,T2,16,4,Jeudi,0
2026-04-17,2026,4,Avril,2026-04,T2,17,5,Vendredi,0
2026-04-18,2026,4,Avril,2026-04,T2,18,6,Samedi,1
2026-04-19,2026,4,Avril,2026-04,T2,19,7,Dimanche,1
2026-04-20,2026,4,Avril,2026-04,T2,20,1,Lundi,0
2026-04-21,2026,4,Avril,2026-04,T2,21,2,Mardi,0
2026-04-22,2026,4,Avril,2026-04,T2,22,3,Mercredi,0
2026-04-23,2026,4,Avril,2026-04,T2,23,4,Jeudi,0
2026-04-24,2026,4,Avril,2026-04,T2,24,5,Vendredi,0
2026-04-25,2026,4,Avril,2026-04,T2,25,6,Samedi,1
2026-04-26,2026,4,Avril,2026-04,T2,26,7,Dimanche,1
2026-04-27,2026,4,Avril,2026-04,T2,27,1,Lundi,0
2026-04-28,2026,4,Avril,2026-04,T2,28,2,Mardi,0
2026-04-29,2026,4,Avril,2026-04,T2,29,3,Mercredi,0
2026-04-30,2026,4,Avril,2026-04,T2,30,4,Jeudi,0
2026-05-01,2026,5,Mai,2026-05,T2,1,5,Vendredi,0
2026-05-02,2026,5,Mai,2026-05,T2,2,6,Samedi,1
2026-05-03,2026,5,Mai,2026-05,T2,3,7,Dimanche,1
2026-05-04,2026,5,Mai,2026-05,T2,4,1,Lundi,0
2026-05-05,2026,5,Mai,2026-05,T2,5,2,Mardi,0
2026-05-06,2026,5,Mai,2026-05,T2,6,3,Mercredi,0
2026-05-07,2026,5,Mai,2026-05,T2,7,4,Jeudi,0
2026-05-08,2026,5,Mai,2026-05,T2,8,5,Vendredi,0
2026-05-09,2026,5,Mai,2026-05,T2,9,6,Samedi,1
2026-05-10,2026,5,Mai,2026-05,T2,10,7,Dimanche,1
2026-05-11,2026,5,Mai,2026-05,T2,11,1,Lundi,0
2026-05-12,2026,5,Mai,2026-05,T2,12,2,Mardi,0
2026-05-13,2026,5,Mai,2026-05,T2,13,3,Mercredi,0
2026-05-14,2026,5,Mai,2026-05,T2,14,4,Jeudi,0
2026-05-15,2026,5,Mai,2026-05,T2,15,5,Vendredi,0
2026-05-16,2026,5,Mai,2026-05,T2,16,6,Samedi,1
2026-05-17,2026,5,Mai,2026-05,T2,17,7,Dimanche,1
2026-05-18,2026,5,Mai,2026-05,T2,18,1,Lundi,0
2026-05-19,2026,5,Mai,2026-05,T2,19,2,Mardi,0
2026-05-20,2026,5,Mai,2026-05,T2,20,3,Mercredi,0
2026-05-21,2026,5,Mai,2026-05,T2,21,4,Jeudi,0
2026-05-22,2026,5,Mai,2026-05,T2,22,5,Vendredi,0
2026-05-23,2026,5,Mai,2026-05,T2,23,6,Samedi,1
2026-05-24,2026,5,Mai,2026-05,T2,24,7,Dimanche,1
2026-05-25,2026,5,Mai,2026-05,T2,25,1,Lundi,0
2026-05-26,2026,5,Mai,2026-05,T2,26,2,Mardi,0
2026-05-27,2026,5,Mai,2026-05,T2,27,3,Mercredi,0
2026-05-28,2026,5,Mai,2026-05,T2,28,4,Jeudi,0
2026-05-29,2026,5,Mai,2026-05,T2,29,5,Vendredi,0
2026-05-30,2026,5,Mai,2026-05,T2,30,6,Samedi,1
2026-05-31,2026,5,Mai,2026-05,T2,31,7,Dimanche,1
2026-06-01,2026,6,Juin,2026-06,T2,1,1,Lundi,0
2026-06-02,2026,6,Juin,2026-06,T2,2,2,Mardi,0
2026-06-03,2026,6,Juin,2026-06,T2,3,3,Mercredi,0
2026-06-04,2026,6,Juin,2026-06,T2,4,4,Jeudi,0
2026-06-05,2026,6,Juin,2026-06,T2,5,5,Vendredi,0
2026-06-06,2026,6,Juin,2026-06,T2,6,6,Samedi,1
2026-06-07,2026,6,Juin,2026-06,T2,7,7,Dimanche,1
2026-06-08,2026,6,Juin,2026-06,T2,8,1,Lundi,0
2026-06-09,2026,6,Juin,2026-06,T2,9,2,Mardi,0
2026-06-10,2026,6,Juin,2026-06,T2,10,3,Mercredi,0
2026-06-11,2026,6,Juin,2026-06,T2,11,4,Jeudi,0
2026-06-12,2026,6,Juin,2026-06,T2,12,5,Vendredi,0
2026-06-13,2026,6,Juin,2026-06,T2,13,6,Samedi,1
2026-06-14,2026,6,Juin,2026-06,T2,14,7,Dimanche,1
2026-06-15,2026,6,Juin,2026-06,T2,15,1,Lundi,0
2026-06-16,2026,6,Juin,2026-06,T2,16,2,Mardi,0
2026-06-17,2026,6,Juin,2026-06,T2,17,3,Mercredi,0
2026-06-18,2026,6,Juin,2026-06,T2,18,4,Jeudi,0
2026-06-19,2026,6,Juin,2026-06,T2,19,5,Vendredi,0
2026-06-20,2026,6,Juin,2026-06,T2,20,6,Samedi,1
2026-06-21,2026,6,Juin,2026-06,T2,21,7,Dimanche,1
2026-06-22,2026,6,Juin,2026-06,T2,22,1,Lundi,0
2026-06-23,2026,6,Juin,2026-06,T2,23,2,Mardi,0
2026-06-24,2026,6,Juin,2026-06,T2,24,3,Mercredi,0
2026-06-25,2026,6,Juin,2026-06,T2,25,4,Jeudi,0
2026-06-26,2026,6,Juin,2026-06,T2,26,5,Vendredi,0
2026-06-27,2026,6,Juin,2026-06,T2,27,6,Samedi,1
2026-06-28,2026,6,Juin,2026-06,T2,28,7,Dimanche,1
2026-06-29,2026,6,Juin,2026-06,T2,29,1,Lundi,0
2026-06-30,2026,6,Juin,2026-06,T2,30,2,Mardi,0
